objectid,title,date,issue,order,subject,description,creator,publisher,contributors,type,format,identifier,source,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path
hwhi_2010_spring,Here We Have Idaho: Spring 2010,2010,Spring,201002,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2010_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/51,51,82.pdf,/hwhi/image/82.pdf
hwhi_2010_summer,Here We Have Idaho: Summer 2010,2010,Summer,201003,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2010_summer,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/54,54,91.pdf,/hwhi/image/91.pdf
hwhi_2010_fall,Here We Have Idaho: Fall 2010,2010,Fall,201004,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2010_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/77,77,67.pdf,/hwhi/image/67.pdf
hwhi_2011_spring,Here We Have Idaho: Spring 2011,2011,Spring,201102,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2011_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/53,53,85.pdf,/hwhi/image/85.pdf
hwhi_2011_summer,Here We Have Idaho: Summer 2011,2011,Summer,201103,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2011_summer,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/69,69,92.pdf,/hwhi/image/92.pdf
hwhi_2012_spring,Here We Have Idaho: Spring 2012,2012,Spring,201202,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2012_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/47,47,61.pdf,/hwhi/image/61.pdf
hwhi_2012_fall,Here We Have Idaho: Fall 2012,2012,Fall,201204,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2012_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/56,56,81.pdf,/hwhi/image/81.pdf
hwhi_2013_spring,Here We Have Idaho: Spring 2013,2013,Spring,201302,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2013_spring,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/61,61,78.pdf,/hwhi/image/78.pdf
hwhi_2013_summer,Here We Have Idaho: Summer 2013,2013,Summer,201303,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2013_summer,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/71,71,76.pdf,/hwhi/image/76.pdf
hwhi_2013_fall,Here We Have Idaho: Fall 2013,2013,Fall,201304,,,University of Idaho Communications & Marketing,University of Idaho,,Text,application/pdf,hwhi_2013_fall,"University Communications & Marketing, University of Idaho, https://www.uidaho.edu/news/here-we-have-idaho-magazine",en,Copyright University of Idaho,http://rightsstatements.org/vocab/InC/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/hwhi/id/59,59,68.pdf,/hwhi/image/68.pdf
