Title	Creator	Description	Date	Date is Approximate?	Source	Subject	Category	Coverage	Rights	Language	Digitization Specifications	Date Digital	Identifier	Publisher	Relation	Collection	Type	Media Type	Format	Ordering Information	Website	Filename	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Commencement 1945		Gymnasium, interior view.	1945		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	370 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-45	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/64	64	27.jpg	/spec_uihp/image/27.jpg
Commencement 1945		R. H. Wells, Commencement speaker.	1945		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	370 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-47	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/65	65	28.jpg	/spec_uihp/image/28.jpg
Commencement 1922		University dinner following commencement	1922		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	280 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-48	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/66	66	29.jpg	/spec_uihp/image/29.jpg
Commencement 1939		Talbot Jennings receiving honorary degree.	1939		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	300 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-13	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/67	67	3.jpg	/spec_uihp/image/3.jpg
Commencement 1945		R. H. Wells, Commencement speaker.	1945		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	370 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-46	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/68	68	30.jpg	/spec_uihp/image/30.jpg
Commencement 1943		Gymnasium, interior view.	1943		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho; University of Idaho -- Buildings -- Photographs;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-49	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/69	69	31.jpg	/spec_uihp/image/31.jpg
Commencement 1952		William Perkins receiving honorary degree.	1952		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-50	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/70	70	32.jpg	/spec_uihp/image/32.jpg
Commencement 1952		William Perkins receiving honorary degree.	1952		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-51	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/71	71	33.jpg	/spec_uihp/image/33.jpg
Commencement 1949		W. Walter Williams, Chairman NECD, giving commencement address.	1949		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-52	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/72	72	34.jpg	/spec_uihp/image/34.jpg
Commencement 1950		Edwin Palmer Hoyt, Editor and Publisher of the Denver Post, giving commencement address.	1950		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-53	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/73	73	35.jpg	/spec_uihp/image/35.jpg
Commencement 1950		Rt. Rev. Frank A. Rhea, Bishop of Idaho giving Baccalaureate Sermon.	1950		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	350 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-54	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/74	74	36.jpg	/spec_uihp/image/36.jpg
Commencement 1949		Dr. Adam S. Bennion of Salt Lake City, Utah, told University of Idaho graduates at baccalaureate services that they live in the last great refuge of free men, and must meet two challenges -- of Communism, of Socialism.	1949		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-55	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/75	75	37.jpg	/spec_uihp/image/37.jpg
Commencement 1950		University Press Service: An honorary Doctor of Laws degree was awarded by the University of Idaho at commencement exercises to Stanly A. Easton (center, Kellogg), president of the Bunker Hill and Sullivan Mining and Concentrating company. He is shown with Dean A. W. Fahrenwald of the school of mines at the university and President J. E. Buchanan.	1950		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-56	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/76	76	38.jpg	/spec_uihp/image/38.jpg
Commencement 1948		University Press Service: Proud mother was Mrs. Maude Cosho Houston of Boise, a member of the board of regents of the University of Idaho, who saw two sons receive their degrees in the 1948 graduating class. Louis (left) received the bachelors of arts degree, while John received a bachelor of science. The Cosho boys missed by one year having their mother's signature on their diploma. Last year, as secretary of the board of regents, Mrs. Houston signed all of the university diplomas.	1948		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-57	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/77	77	39.jpg	/spec_uihp/image/39.jpg
Commencement 1939		Procession. From the files of C. J. Brosnan	1939		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	270 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-14a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/78	78	4.jpg	/spec_uihp/image/4.jpg
Commencement 1948		Mrs. Maude Cosho Houston, Boise. Member of Board of Regents with son John who received a BS degree.	1948		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-57a	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/79	79	40.jpg	/spec_uihp/image/40.jpg
Commencement 1949		Grover D. Turnbow, President of the International Dairy Association. University of Idaho agriculture graduate.	1949		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-59	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/80	80	41.jpg	/spec_uihp/image/41.jpg
Commencement 1951		(Right to Left) D. D. Dusault, Registrar, Dean Lattig, Urban Schmitt, Titus G. Le Clair, William E. Lee, Mrs. John E. Hayes.	1951		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-60	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/81	81	42.jpg	/spec_uihp/image/42.jpg
Commencement 1950		Gov. C. A. Robins addressing commencement audience	1950		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-61	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/82	82	43.jpg	/spec_uihp/image/43.jpg
Commencement 1953		D. Roy Shoults, President J. E. Buchanan, and James B. Hays	1953-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho; University of Idaho -- Presidents;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-66	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/83	83	44.jpg	/spec_uihp/image/44.jpg
Commencement 1953		C. Foster receiving honorary degree.	1953-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-67	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/84	84	45.jpg	/spec_uihp/image/45.jpg
Commencement 1953		J. Hays receiving honorary degree.	1953-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-68	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/85	85	46.jpg	/spec_uihp/image/46.jpg
Commencement 1954		Citation Upon Award of Certificate of Merit and Appointment Emeritus 6 June 1954. For thirty-five years our campus has been home for the man who has earned the world over the very appropriate but non-professional title of Mr. Flotation. For twenty-one of those years Arthur W. Fahrenwald has been dean of our College of Mines and director of the Idaho State Bureau of Mines and Geology. New processes and new machines growing out of his research here are now in use in every mining district throughout the world. It is safe to say that 75 per cent of all the ore treated by flotation goes through processes and machinery having their origin in his research at Idaho. The wold over, flotation and Fahrenwald have became synonymous. many times he has been called to mining districts abroad to help on some special metallurgical problem. Through his contribution to more efficient and economical mineral recovery, millions of dollars have been added to the income of Idaho's mining industry throughout the world. To you, Dean Fahrenwald, by authority of the Regents, it is a pleasure and an honor to present with hearty congratulations and best wishes this certificate of merit and appointment emeritus effective upon your retirement from your deanship, 1 September 1954. J. E. Buchanan, President.	1954		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-58	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/86	86	47.jpg	/spec_uihp/image/47.jpg
Commencement 1953			1953-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-70	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/87	87	48.jpg	/spec_uihp/image/48.jpg
Commencement 1953		Dean Jeffers, retiring,  and President Buchanan.	1953-06		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho; University of Idaho -- Presidents;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	250 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-71	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/88	88	49.jpg	/spec_uihp/image/49.jpg
Commencement 1939		Shows platform group and portion of band. From the files of C. J. Brosnan	1939		PG 2 University of Idaho Student Organizations, 2-109-11 to 2-109-80	University of Idaho;	Graduation;	United States--Idaho--Latah County--Moscow	Digital image copyright 2010, The University of Idaho. All rights reserved. For more information contact Special Collections and Archives, University of Idaho Library, Moscow, ID 83844-2350; http://www.lib.uidaho.edu/special-collections/.	eng	200 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.	2010-05	2-109-14b	University of Idaho Library	University of Idaho Historical Photograph Collection	University of Idaho Student Organizations	Image;StillImage	Black and white prints	image/jpg	To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html	http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp			2010-05-18	2014-04-17	http://cdm17254.contentdm.oclc.org/cdm/ref/collection/spec_uihp/id/89	89	5.jpg	/spec_uihp/image/5.jpg
