title,date,date is approximate,performers,instruments,special-guests,adjudicators,description,creator,interviewee,location,digital collection,contributing institution,source,identifier,filename,rights,rightsstatement,format original,type,format,language,reference url,cdmid,CONTENTdm file name,CONTENTdm file path,objectid,youtubeid
International Night - Claudio Roditi [13],1992-02-19,,"Roditi, Claudio",trumpet,,,35 mm color slide. Claudio Roditi on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-073,jazz92-international_night-073.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/256,256,272.jp2,/jazzfest/image/272.jp2,jazzfest258,
International Night [13],1992-02-19,,"Hampton, Lionel; Skinner, Lynn ""Doc""",,,,"35 mm color slide. Lionel Hampton and Lynn ""Doc"" Skinner present two unidentified individuals a plaque on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.",University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-043,jazz92-international_night-043.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/257,257,221.jp2,/jazzfest/image/221.jp2,jazzfest259,
International Night - Kim Foley [3],1992-02-19,,"Foley, Kim",vocals,,,35 mm color slide. Kim Foley sings on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-090,jazz92-international_night-090.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/258,258,330.jp2,/jazzfest/image/330.jp2,jazzfest260,
International Night - Brian Bromberg [28],1992-02-19,,"Bromberg, Brian",bass,,,35mm color slide. Brian Bromberg plays bass at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-intl_nite_bromberg029,jazz92-intl_nite_bromberg029.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/259,259,238.jp2,/jazzfest/image/238.jp2,jazzfest261,
International Night - Lisa Capers [1],1992-02-19,,"Capers, Lisa",vocals,,,35 mm color slide. Lisa Capers on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-053,jazz92-international_night-053.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/260,260,311.jp2,/jazzfest/image/311.jp2,jazzfest262,
Lionel Hampton and Student Vocalist [1],1991-02-23,,"Hampton, Lionel",,,,35mm color negative. A student vocalist performs at the 1991 Lionel Hampton-Chevron Jazz Festival evening concert while Lionel Hampton stands to the side.,"University of Idaho Photo Services; Prout, Jerry",,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz91-011-prout-002a,jazz91-011-prout-002a.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/261,261,281.jp2,/jazzfest/image/281.jp2,jazzfest263,
International Night - Kao Temma [2],1992-02-19,,"Temma, Kao",dance,,,35 mm color slide. Kao Temma dances with a spotlight on her at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-062,jazz92-international_night-062.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/262,262,229.jp2,/jazzfest/image/229.jp2,jazzfest264,
International Night - Kim Foley [4],1992-02-19,,"Foley, Kim",vocals,,,35 mm color slide. Kim Foley sings on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-international_night-094,jazz92-international_night-094.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/263,263,232.jp2,/jazzfest/image/232.jp2,jazzfest265,
International Night - Brian Bromberg [18],1992-02-19,,"Bromberg, Brian",bass,,,35mm color slide. Brian Bromberg plays bass at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-intl_nite_bromberg019,jazz92-intl_nite_bromberg019.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/264,264,261.jp2,/jazzfest/image/261.jp2,jazzfest266,
International Night - Paquito D'Rivera [11],1992-02-19,,"D'Rivera, Paquito",saxophone,,,35mm color slide. Paquito D'Rivera stands on stage at the Pepsi International World Jazz Night at the 1992 Lionel Hampton-Chevron Jazz Festival.,University of Idaho Photo Services,,,Lionel Hampton Jazz Festival Collection,University of Idaho Special Collections and Archives,University of Idaho Jazz Office records,jazz92-intl_nite_d'riviera_roditi011,jazz92-intl_nite_d'riviera_roditi011.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department.",http://rightsstatements.org/vocab/InC-EDU/1.0/,photographic slide,Image;StillImage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/jazzfest/id/265,265,250.jp2,/jazzfest/image/250.jp2,jazzfest267,
