colltitle,shorttitle,cdmtitle,Items,webitems,TSV File,Google Sheet,Data Validation,cpd entries,digital-archive-location,digital-archive-size,Type,Alpha,CDMID,Website,path,short_desc,Description,Subjects,MediaType,Location,Lat,Long,TimeStart,TimeEnd,Image,ImageLink,image-number,ImageTitle,width,height,menu,fusionmap,zoom
Idaho Waters Digital Library,Idaho Waters,Idaho Waters Digital Library,476,478,Uploaded,Created,Complete: Standardized Rights field is empty,,,,Collection,Idaho Waters,idahowater,https://www.lib.uidaho.edu/digital/iwdl/,iwdl,"Scientific and technical reports, with an emphasis on Idaho Water Resources Research Institute reports and publications","The Idaho Waters Digital Library provides access to information resources relating to water issues in key Idaho river basins. The collection presently includes scientific and technical reports, with an emphasis on [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri) reports and publications. Documents can be browsed by [Location](map.html 'Browse by Map'), [Date](timeline.html 'Browse by Time'), and [Subject Term](subjects.html 'Browse by Subject') by using the tabs above. The database can also be queried extensively using the [Table](table.html 'Browse/Search by Table') feature. This project would not have been possible without the grant support of the [United States Geological Survey](https://www.uidaho.edu/research/iwrri/aboutiwrri), the administrative support of the [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri/aboutiwrri), the metadata &amp; digitization work of Warren Bromley-Vogel, and the conceptual efforts of Jodi Haire.",Idaho; Water; Wilderness; Mining; UIResearch;,documents,Coeur D&apos; Alene; Lewiston; Boise (Idaho),43.608655,-116.193734,1963,1984,https://www.lib.uidaho.edu/images/pinecreekliberalking.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/idahowater/id/71,71,Research in water resources for Idaho,400px,269px,table map timeline subjects,1J0MGzscL64r7UtVJ_D-QPyo1c1l9zQswf0ZojUA,7
"Edward John Iddings Lantern Slides, 1927",Iddings Collection,"John Edward Iddings, Lantern Slides, 1927",157,157,Uploaded,Created,Complete,,,,AltCollection,Iddings,spec_ji,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_ji,iddings,"Slides from longtime College of Agriculture Dean, Edward John Iddings, including university-, agriculture-, and travel-related images","Edward John Iddings was the Dean of the College of Agriculture at UI from 1915 to 1946. These slides depict agricultural and university-related scenes from Idaho, as well as images from Iddings&apos; travels.",UI; Agriculture;,images,"Moscow, ID (Admin building)",46.727874,-117.028127,1927,1927,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=spec_ji&amp;CISOPTR=426&amp;action=2&amp;DMSCALE=10&amp;DMWIDTH=352&amp;DMHEIGHT=286&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_ji/id/426,426,Scottish Highland Cattle,352px,286px,,,
Ray Brown Collection,Ray Brown,Ray Brown Collection,17,17,Uploaded,Created,Complete: Updated rights field added standardized rights field,,,,IJCCollection,IJC-Brown,ijc_brown,https://www.ijc.uidaho.edu/brown_ray/,brown_ray,Images from the Ray Brown Collection.,"A small collection of the photographs and awards of Ray Brown, a renowned jazz double bassist and cellist.",IJC; Jazz; Jazz;,images,University of Idaho (Library),46.7274,-117.01404,1953,2001,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijc_brown&amp;CISOPTR=14&amp;action=2&amp;DMSCALE=30&amp;DMWIDTH=357&amp;DMHEIGHT=446&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/ijc_brown/id/14,14,Ray Brown,320px,400px,,,
Leonard Feather Jazz Collection,Feather Jazz Collection,Leonard Feather Jazz Collection,5672,688,Uploaded,Created,Complete: Updated rights field added standardized rights field,,,,IJCCollection,IJC-Feather,lfc,https://www.ijc.uidaho.edu/feather_leonard/index.html,feather_leonard,"Papers, recordings, and photographs from the collection of Leonard Feather.","The Leonard Feather Collection includes a variety of materials that document and describe the Jazz scene during the middle of the twentieth century. Feather was born in London in 1914 and moved to New York City in 1939. He was a journalist, producer, composer and jazz critic. The collection contains- photos, notebooks, sketches, scores, correspondence, clippings, manuscripts, notes and financial papers.",IJC; Jazz;; Jazz;,images; documents; audio; illustrations; scores; correspondence; video,"Moscow, ID (Library)",46.72748,-117.01404,1900,1999,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=lfc&amp;CISOPTR=214&amp;action=2&amp;DMSCALE=15&amp;DMWIDTH=431&amp;DMHEIGHT=344&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/lfc/id/214,214,Leonard Feather and Maragaret Sands at the Savoy Ballroom,400px,319px,,,
Dizzy Gillespie Collection,Dizzy Gillespie Collection,Dizzy Gillespie Collection,18,18,Uploaded,Created,Complete: Updated rights field added standardized rights field,YES,,,IJCCollection,IJC-Gillespie,ijcdg,https://www.ijc.uidaho.edu/gillespie_dizzy/index.html,gillespie_dizzy,Images and memorabilia from the Dizzy Gillespie Collection.,This collection was assembled by Special Collections and Archives of the University of Idaho Library with materials donated by Mrs. Gillespie. The collection contains fifteen items that belonged to the artist.,IJC; Jazz;,memorabilia,University of Idaho (Library),46.72732,-117.01412,1987,2000,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijcdg&amp;CISOPTR=6&amp;action=2&amp;DMSCALE=15&amp;DMWIDTH=451&amp;DMHEIGHT=307&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/ijcdg/id/6,6,Plaster Mask,400px,272px,,,
Al Grey -Rosalie Soladar Memorial Collection,Al Grey  Collection,Al Grey-Rosalie Soladar Memorial Collection,255,255,Uploaded,Created,Complete: Updated rights field added standardized rights field,,,,IJCCollection,IJC-Grey,ijcag,https://www.ijc.uidaho.edu/grey_al/index.html,grey_al,Awards and photographs from the Al Grey Collection,Al Grey was a jazz trombonist and bandleader. Rosalie Soladar was his companion and personal manager. Materials in this collection span most of Grey&apos;s career after their partnership. The digital collection includes photographs and images of awards and ephemera,IJC; Jazz;,images,University of Idaho (Library),46.7274,-117.01412,1989,2000,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijcag&amp;CISOPTR=273&amp;action=2&amp;DMSCALE=15&amp;DMWIDTH=298&amp;DMHEIGHT=388&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/ijcag/id/273,273,Al Grey Singing,298px,388px,,,
Lionel Hampton Library Collection,Hampton Collection,Lionel Hampton Library Collection,6660,3603,Uploaded,Created,Complete: Rights field updated; Standardized Rights added; Unique titles have not been created,YES,,,IJCCollection,IJC-Hampton,ijcs,https://www.ijc.uidaho.edu/hampton_collection/,hampton_collection,"Scores, documents and images from the Lionel Hampton Collection","The materials in the Lionel Hampton collection span most of his musical career, 1926–2002, with the bulk of the collection dating 1940–1990. The digital collection includes photographs, arrangements, and images of awards and ephemera.",IJC; Jazz;,documents; images; scores,University of Idaho (Library),46.72748,-117.01412,1918,2002,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijcs&amp;CISOPTR=10157&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=427&amp;DMHEIGHT=319&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/singleitem/collection/ijcs/id/10157,10157,Lionel Hampton&apos;s Birthday Party,400px,299px,,,
Lee Morse Collection,Morse Collection,Lee Morse Collection,105,105,Uploaded,Created,Complete: Rights field updated; standardized rights field added,YES,,,IJCCollection,IJC-Morse,ijclm,https://www.ijc.uidaho.edu/morse_lee/index.html,morse_lee,Images and recordings from the Lee Morse Collection.,Lee Morse was an American singer and songwriter. The collection includes mainly photographs and sound recordings.,IJC; Jazz;,images; audio;,University of Idaho (Library),46.72732,-117.01388,1924,1941,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijclm&amp;CISOPTR=22&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=326&amp;DMHEIGHT=432&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/ijclm/id/22,22,Lee Morse playing guitar,302px,400px,,,
Joe Williams Collection,Joe Williams,Joe Williams Collection,147,147,Uploaded,Created,"Complete: Update Rights field, added standardized rights field, updated Language field",YES,,,IJCCollection,IJC-Williams,ijcw,https://www.ijc.uidaho.edu/williams_joe/index.html,williams_joe,Scores from the Joe Williams Collection.,"Joe Williams was a vocalist who began singing professionally in the late 1930’s. He worked with the big bands of Coleman Hawkins, Lionel Hampton and Count Basie; it was with Basie that Williams had his first recording hits. Williams won many awards and professional recognition. In the 1980’s he had a recurring role (as “Grandpa Al�?) on TV’s The Cosby Show. He died in Las Vegas on March 29, 1999.",IJC; Jazz;,scores,University of Idaho (Library),46.72732,-117.01488,1930,1970,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ijcw&amp;CISOPTR=266&amp;action=2&amp;DMSCALE=25&amp;DMWIDTH=361&amp;DMHEIGHT=467&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/compoundobject/collection/ijcw/id/275,275,Score for They Can&apos;t Take That Away from Me,309px,400px,,,
Institutional Repository,UI Repository,Institutional Repository,106,106,Uploaded,Created,,,,,AltCollection,Institutional,IR,https://digital.lib.uidaho.edu/cdm/search/collection/IR,ir,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Research articles and other documents produced by individuals and entities from the University of Idaho.,UIResearch; UI,documents,University of Idaho,46.727309,-117.012272,2000,2016,na,na,,na,na,na,,,
Intermountain Forestry Cooperative,Forestry Coop,Intermountain Forestry Cooperative,39,39,Uploaded,Created,Complete: Rights statement not updated,YES,,,AltCollection,Intermountain,iftnc,https://digital.lib.uidaho.edu/cdm/landingpage/collection/iftnc,iftnc,"A collection of reports, studies, and documents published by the Intermountain Forestry Cooperative","A collection of reports, studies, and documents published by the Intermountain Forest Tree Nutrition Cooperative (IFTNC), a research cooperative composed of public and private forestry organizations that is located administratively in the College of Natural Resources at the University of Idaho.",Forests; Northwest; UIResearch;,documents,Inland Northwest,46.729312,-117.012924,1984,1991,https://www.lib.uidaho.edu/digital/img/IFTNC.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/iftnc/id/3350,3350,Trees in the mountains,311px,149px,,,
Kooskia Internment Camp Scrapbook,Kooskia Internment Camp,Kooskia Internment Camp Scrapbook,387,194,Uploaded,Created,Completed,YES,,,Collection,Kooskia,spec_kic,https://www.lib.uidaho.edu/digital/Kooskia/,kooskia,"Documenting the daily life of Japanese Americans interned by the US Government near Kooskia, ID durning World War II","The Kooskia Internment Camp Scrapbook documents the sights, tasks, scenes, and events of Japanese men detained during the camp&apos;s two years or operation (May 1943 - May 1945). The camp was located in a remote area of north central Idaho, 30 miles from the town of Kooskia; it was administered by the U.S. Immigration and Naturalization Service (INS) for the U.S. Department of Justice.",Idaho;,scrapbook; images,"Kooskia, Idaho",46.144012,-115.594819,1943,1945,https://www.lib.uidaho.edu/digital/img/kooksia1.png,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_kic/id/786,786,Kooskia Internment Camp Scrapbook Entrance Sign,399px,247px,subjects all,,
Latah County Oral Histories,Latah County Oral Histories,Latah County Historical Society Photograph Collection,330,636,Uploaded,Created,Completed: RIghts statement updated; Standardized Rights field added,YES,,,AltCollection,Latah County,latah,https://www.lib.uidaho.edu/digital/lcoh/index.html,lcoh,Remembering Latah County and Idaho Life at the turn of the 20th century,"In the mid 1970s, the Latah County Historical Society collected over 300 oral histories from local Northern Idaho residents who grew up in Idaho during the early part of the 20th century. The Latah County Oral History Project produced one of the largest collections of oral histories in the Pacific Northwest. A copy of the transcripts and cassette recordings was donated to the University of Idaho Library in 1987. Those items were digitized and uploaded into our database in 2013.",Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow;Potlatch,documents; audio,University of Idaho (Library),46.736036,-116.67642,1970,1979,https://www.lib.uidaho.edu/digital/lcoh/photos/Brink-C_02.jpg,https://www.lib.uidaho.edu/digital/lcoh/people/BRINK_Carol.html,,Carol Ryrie Brink,263px,376px,,,
Latah County Community Heritage Collection,Latah County Community Heritage Collection,Kyle Laughlin Photographs,610,610,Uploaded,Created,Completed,,,,Collection,Latah County Community,lcheritage,https://www.lib.uidaho.edu/digital/lcheritage/index.html,lcheritage,Materials from the NEH Funded Common Heritage Community Digitization Project in Latah County,The Latah County Common Heritage Collection was driven by funding from a National Endowment for the Humanities (NEH) Common Heritage Grant awarded to the University of Idaho Library in 2016. The materials in this collection were collected via community digitization days held in Moscow and Potlatch in 2016 and 2017.,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow;Potlatch,documents; image,University of Idaho (Library),46.738036,-116.67842,1880,2016,http://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=lcheritage&amp;CISOPTR=7&amp;action=2&amp;DMSCALE=30&amp;DMWIDTH=512&amp;DMHEIGHT=476&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,http://digital.lib.uidaho.edu/cdm/ref/collection/lcheritage/id/7,7,Kelvin Daniels in front of fire,405px,285px,,,
Latah County Historical Society Photograph Collection,LCHS Photos,Latah County Community Heritage Collection,153,153,Uploaded,Created,Completed,,,,AltCollection,Latah County Historical,lchsphotos,https://digital.lib.uidaho.edu/cdm/search/collection/lchsphotos,lchsphotos,Photographs from the collection of the Latah County Historical Society,Photographs from the collection of the Latah County Historical Society,Idaho; Latah;,images,Latah County Idaho,46.732824,-116.99744,1904,2000,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=lchsphotos&amp;CISOPTR=72&amp;action=2&amp;DMSCALE=50&amp;DMWIDTH=425&amp;DMHEIGHT=400&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID=sessionZdbecker%3EWE,https://digital.lib.uidaho.edu/cdm/ref/collection/lchsphotos/id/72,72,People on Bovill&apos;s Main Street,425px,400px,,,
Kyle Laughlin Photographs,Laughlin Photos,Latah County Oral Histories Collection,828,828,Uploaded,Created,Completed: Unique Title names: Odering Information field changed to rights; Standardized Rights field updated,,,,Collection,Laughlin,spec_kl,https://www.lib.uidaho.edu/digital/Laughlin/,laughlin,"Historical Photographs of Idaho and the United States, 1931 - 1979","The images of the Kyle Laughlin Photograph Collection, taken from 1931 to 1979, depict Idaho&apos;s natural scenery and historic sites, as well as personal moments from Kyle Laughlin&apos;s life. Laughlin was a Moscow, Idaho resident and businessman for 56 years; he owned several businesses, including a photo shop, an appliance store, and a television/cable company.",Idaho; Water; Agriculture; UI; Latah;,images,Idaho; Washington; Montgomery (Ala.); Acoma Village (N.M.); Topeka (Kan.); St. Lewis (Mo.); Denver (Colo.); Cheyenne (Wyo.); Little Bighorn Battlefield (Mont.); Vaseux Lake (B.C.),46.706833,-116.92294,1935,1937,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=spec_kl&amp;CISOPTR=955&amp;action=2&amp;DMSCALE=70.00000&amp;DMWIDTH=290&amp;DMHEIGHT=320&amp;DMX=10&amp;DMY=10&amp;DMTEXT=&amp;REC=6&amp;DMTHUMB=1&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_kl/id/955,955,"Fishing Contest, 1937",290px,320px,table map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,8
Lewiston Orchards Life Newsletter,Lewiston Newsletter,Lewiston Orchards Life,25,25,Uploaded,Created,Completed: Rights fiedl updated; Standardized rights field added.,YES,,,Collection,Lewiston,spec_lof,https://www.lib.uidaho.edu/digital/LewistonOrch/,lewistonorch,"A newsletter documenting daily life in Lewiston Orchards, Idaho (1913-1914)","Lewiston Orchards Life was a newsletter published in Lewiston, Idaho during the early 1900s. The newsletter covers the residential and horticultural lives of those living in the Lewiston Orchards area, which is now a residential neighborhood.",Idaho; Agriculture;,documents,"Lewiston, ID",46.38071,-116.974847,1913,1914,https://www.lib.uidaho.edu/digital/LewistonOrch/Lewiston.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_lof/id/230,230,"Lewiston Orchards Life, 1914 April",400px,215px,timeline about,,
McCall Public Library Collection,McCall Library Collection,McCall Public Library Collection,319,319,Uploaded,Created,Completed,,,,Collection,McCall,mccall,https://www.lib.uidaho.edu/digital/mccall/,mccall,A collection of family history-related items form the McCall Public Library,A collection of family history-related items form the McCall Public Library,Idaho; Water; Wilderness;,documents; images;,"McCall, ID",44.908901,-116.099141,1815,2014,https://www.lib.uidaho.edu/digital/images/mccalllibrary.jpg,https://mccall.lili.org/,,McCall Library,500px,260px,subjects locations,,
Nez Perce Collection,Nez Perce Collection,Nez Perce Historical Photograph Collection,583,583,Uploaded,Created,Completed: Updated Rights Field added Standardized Rights Field,,,,Collection,Nez,nezperce,https://www.lib.uidaho.edu/digital/nezperce/,nezperce,20th Century photographs of the Nez Perce/Niimíipuu Native Americans,The Nez Perce Historical Portrait Collection includes nearly 600 photographs of individuals and groups from the Nez Perce/Nimíipuu tribe. Most photographs were taken during the first half of the 20th century. Much of the collection is comprised of studio photographs that have been taken of both individuals and families.,Idaho; NativeAmericans; Northwest;,images,Nez Perce National Historical Park; Lapwai; Spalding (Idaho),46.449904,-116.817596,1900,1955,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=nezperce&amp;CISOPTR=512&amp;action=2&amp;DMSCALE=10.5&amp;DMWIDTH=800&amp;DMHEIGHT=700&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/nezperce/id/512,512,"Border Days Grangeville, Idaho",400px,258px,subjects all about,,
Ott Historical Photograph Collection,Ott Collection,Ott Historical Photograph Collection,1826,1826,Uploaded,Created,Completed,,,,Collection,Ott,ott,https://www.lib.uidaho.edu/digital/ott/,ott,"Photographs from local Clifford M. Ott depicting northern Idaho as it was, 1890 - 1980","Clifford M. Ott donated this broad collection of historical photographs in 1992. Ott was an avid amateur photographer who amassed over 10,000 slides, prints, and negatives spanning the years from 1883 to 1990. The digital collection represents a selection from Ott&apos;s whole collection, which he compiled into eleven albums containing a total of over 1,800 images of Moscow and surrounding Latah County and used to educate local citizens.",Idaho; Latah; Moscow;,images; newspaper clippings,"Latah County Idaho (Moscow, Genesee; Potlatch; Princeton-Harvard); Lewiston, Idaho and Clarkston Wash.; Troy &amp; Livingston, Mont.; Ralston Nebraska",46.731518,-117.001358,1880,1989,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=ott&amp;CISOPTR=90&amp;action=2&amp;DMSCALE=55&amp;DMWIDTH=512&amp;DMHEIGHT=465&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/ott/id/90,90,"Fat Men&apos;s Race. Moscow, July 4, 1911.",400px,266px,map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,9
Northwest Historical Postcards Collection,Postcards Collection,Northwest Historical Postcards Collection,811,811,Uploaded,Created,Completed: Updated Rights Field added Standardized Rights Field,,,,Collection,Postcards,nwpostcards,https://www.lib.uidaho.edu/digital/postcards/,postcards,Digitized Historical Postcards from Idaho and the Greater Northwest,This digital collection of over 800 postcards comes from the historical photograph collections of the University of Idaho Library&apos;s Special Collections &amp; Archives. The postcards range in date from the 1890s to the 1980s.,Idaho; Northwest; Forests; Water; Wilderness;,images; correspondence,"Washington, Oregon, Idaho, Montana, Wyoming, British Columbia and Alberta",46.716798,-119.597168,1890,1980,https://www.lib.uidaho.edu/digital/postcards/images/Postcard_098.jpg,https://digital.lib.uidaho.edu/cdm/ref/collection/nwpostcards/id/235,235,"Syinga Time, Lake Pend Oreille, North Idaho",400px,251px,table map locations subjects about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,7
Potlatch Historical Society Collection,Potlatch Historical Society,Potlatch Historical Society,1781,1781,Uploaded,Created,Completed,,,,AltCollection,Potlatch Historical,phs,https://www.lib.uidaho.edu/digital/phs,phs,"Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998","Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998",Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch,documents; images;,Idaho,46.921048,-116.903855,1880,1998,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=phs&amp;CISOPTR=7&amp;action=2&amp;DMSCALE=55&amp;DMWIDTH=600&amp;DMHEIGHT=600&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID,https://digital.lib.uidaho.edu/cdm/ref/collection/phs/id/7,7,Longest Logging Train,400px,300px,,,9
Potlatch Lumber Company Photograph Collection,Potlatch Lumber Co. Photos,Potlatch Lumber Company Photograph Collection,1570,1570,Uploaded,Created,Completed,,,,AltCollection,Potlatch Lumber,plcphotos,https://digital.lib.uidaho.edu/cdm/search/collection/plcphotos,plcphotos,A collection of over 1500 photographs from the Potlatch Lumber Company,A collection of over 1500 photographs from the Potlatch Lumber Company,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch,images,Idaho,46.921048,-116.903855,1896,1999,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=plcphotos&amp;CISOPTR=16&amp;action=2&amp;DMSCALE=25&amp;DMWIDTH=400&amp;DMHEIGHT=350&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID,https://digital.lib.uidaho.edu/cdm/ref/collection/plcphotos/id/16,16,"White Pine King, 1911",400px,300px,,,
Priest Lake Historical Photograph Collection,Priest Lake Collection,Priest Lake Historical Photograph Collection,380,380,Uploaded,Created,Completed,,,,Collection,Priest,priestlake,https://www.lib.uidaho.edu/digital/priestlake/,priestlake,"Historical Photographs of Priest lake, Idaho and the surrounding area, 1880 - 1950","A digital collection comprised of 380 historical photographs of Priest Lake, Idaho and the surrounding area. The images span the years 1880 to 1950, documenting the area&apos;s waters, boats, buildings, landscape and people.",Idaho; Water; Forests;,images,Priest Lake; Upper Priest Lake; Priest River; Coolin; Idaho,48.514088,-116.871872,1880,1950,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=priestlake&amp;CISOPTR=370&amp;action=2&amp;DMSCALE=50.00000&amp;DMWIDTH=600&amp;DMHEIGHT=600&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/priestlake/id/370,370,Dewey Huot&apos;s Mama,194px,338px,map timeline subjects all about,1vAfzCZfzcPSCRLAipILpiygJRUhkScVaA6RgTbE,10
Psychiana Digital Collection,Psychiana,Psychiana Digital Collection,1323,1323,Uploaded,Created,Completed,,,,AltCollection,Psychiana,psychiana,https://digital.lib.uidaho.edu/cdm/search/collection/psychiana,psychiana,"Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s","Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s",Idaho; Northwest; Latah; Religion,images; documents; audio; correspondence,"Moscow, ID",46.733711,-117.001252,1930,1952,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=psychiana&amp;CISOPTR=548&amp;action=2&amp;DMSCALE=27&amp;DMWIDTH=400&amp;DMHEIGHT=350&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0&amp;DMID,https://digital.lib.uidaho.edu/cdm/ref/collection/psychiana/id/548,548,Photograph of Clerical and Bookkeeping Staff from the Branch Mailing Department.,400px,350px,,,
Rangeland Center Collection,Rangeland Center Collection,Rangeland Center Collection,66,66,Uploaded,Created,Completed: Updated Rights Field added Standardized Rights Field,,,,Collection,Rangeland Center,na,https://digital.lib.uidaho.edu/cdm/landingpage/collection/rangecoll,rangecoll,A repository of information created by University of Idaho researchers related to topics in rangeland ecology and managemen,"The Rangeland Center collection is a repository of information created by University of Idaho researchers related to topics in rangeland ecology and management. Subject areas include ecology of rangelands, grazing management, invasive plants, fire ecology, and more.",UI; UIResearch; Northwest; Rangeland;,documents,Idaho,43.207053,-115.065308,1969,2013,https://www.lib.uidaho.edu/digital/images/rangelandarchive.jpg,https://www.lib.uidaho.edu/digital/images/rangelandarchive.jpg,,Rangeland,420px,131px,,,
Selway-Bitterroot Wilderness History Project,Selway-Bitterroot Project,Selway-Bitterroot Wilderness Collection,312,312,Uploaded,Created,Complete: Rights statement updates; standardized Rights field added,,,,DMCollection,Selway,sbw,https://sbw.lib.uidaho.edu/,sbwhp,"Oral histories, photographs, and other documents from an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness","This collection represents the digital objects of the Selway-Bitterrot Wilderness History Project, which is an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness.",Idaho; Water; Forests; Wilderness,documents; images; podcasts,Lolo Pass; Lolo Hot Springs (Mont.); Elk Summit; Freeman Peak; Moose Meadows; Shissler Peak Lookout; Shearer Guard Station; Trapper Peak; Paradise Campground (Idaho),46.157491,-114.553871,1920,2011,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=sbw&amp;CISOPTR=110&amp;action=2&amp;DMSCALE=20&amp;DMWIDTH=486&amp;DMHEIGHT=352&amp;DMX=0&amp;DMY=0&amp;DMTEXT=Salmon&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/sbw/id/110,110,John Day Ranch,400px,290px,,,
"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",Shattuck Collection,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",212,212,Uploaded,Created,Completed,,,,AltCollection,Shattuck,spec_cs,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_cs,shattuck,"Early twentieth century slides depicting the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it","Charles Houston Shattuck was a professor in the College of Agriculture (now Natural Resources) who initiated &apos;Arboretum Hill&apos; (now known as the Charles Houston Shattuck Arboretum). These early twentieth century slides depict the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it.",Idaho; UI; Wilderness,images,"Selway Bitterroot Wilderness Region; Bitterroot Mt. (Idaho); UI (Moscow, ID); Packers Meadows (Idaho); Kaniksu National Forest (Mont.); Lolo Hot Spring (Mont.)",46.724545,-117.015397,1904,1910,https://digital.lib.uidaho.edu/utils/ajaxhelper/?CISOROOT=spec_cs&amp;CISOPTR=10&amp;action=2&amp;DMSCALE=10&amp;DMWIDTH=390&amp;DMHEIGHT=317&amp;DMX=0&amp;DMY=0&amp;DMTEXT=&amp;DMROTATE=0,https://digital.lib.uidaho.edu/cdm/ref/collection/spec_cs/id/10,10,White Sand Lake (Idaho),390px,317px,,,
